date,route,route_label,anisotropy
2003-10-01,D,Diagonal,3.6976194512746146
2003-11-01,D,Diagonal,3.953982628925142
2003-12-01,D,Diagonal,4.088609490782324
2004-01-01,D,Diagonal,4.339308093595527
2004-02-01,D,Diagonal,3.929228088848196
2004-03-01,D,Diagonal,3.7511175142547892
2004-04-01,D,Diagonal,3.6941351151352504
2004-05-01,D,Diagonal,3.7685512885188226
2004-06-01,D,Diagonal,4.084653531469493
2004-07-01,D,Diagonal,3.8464630191324107
2004-08-01,D,Diagonal,3.566098971097571
2004-09-01,D,Diagonal,3.434661935401109
2004-10-01,D,Diagonal,3.5802902636820635
2004-11-01,D,Diagonal,3.9653065380795494
2004-12-01,D,Diagonal,3.709458298224251
2005-01-01,D,Diagonal,3.747753782672602
2005-02-01,D,Diagonal,4.06100157417328
2005-03-01,D,Diagonal,3.698762886038828
2005-04-01,D,Diagonal,3.59384522094492
2005-05-01,D,Diagonal,3.7391301769809435
2005-06-01,D,Diagonal,3.7594447631539647
2005-07-01,D,Diagonal,3.7917988140194616
2005-08-01,D,Diagonal,3.6672379587271706
2005-09-01,D,Diagonal,3.806242971421643
2005-10-01,D,Diagonal,3.635119491910587
2005-11-01,D,Diagonal,3.4207976022278084
2005-12-01,D,Diagonal,3.3938103249955067
2006-01-01,D,Diagonal,3.5309121113873636
2006-02-01,D,Diagonal,3.903954627809269
2006-03-01,D,Diagonal,4.406388011061498
2006-04-01,D,Diagonal,3.8115403521522064
2006-05-01,D,Diagonal,3.479813282715404
2006-06-01,D,Diagonal,3.309364191076253
2006-07-01,D,Diagonal,3.1089804673510866
2006-08-01,D,Diagonal,3.154964573051502
2006-09-01,D,Diagonal,3.339144786601201
2006-10-01,D,Diagonal,3.4666741589821934
2006-11-01,D,Diagonal,3.524109480879867
2006-12-01,D,Diagonal,3.5198205572283547
2007-01-01,D,Diagonal,3.4708161117579177
2007-02-01,D,Diagonal,3.534560498597642
2007-03-01,D,Diagonal,3.630873205662046
2007-04-01,D,Diagonal,3.486784875778383
2007-05-01,D,Diagonal,3.5391453918023936
2007-06-01,D,Diagonal,3.48750676368056
2007-07-01,D,Diagonal,3.3880067579435345
2007-08-01,D,Diagonal,3.593377403107754
2007-09-01,D,Diagonal,3.984852076585026
2007-10-01,D,Diagonal,4.012015813354255
2007-11-01,D,Diagonal,3.826523738421573
2007-12-01,D,Diagonal,3.9760958575423366
2008-01-01,D,Diagonal,3.8072952508642914
2008-02-01,D,Diagonal,3.6093290915608143
2008-03-01,D,Diagonal,3.4915059153274157
2008-04-01,D,Diagonal,3.6664362937971093
2008-05-01,D,Diagonal,3.7395853346121926
2008-06-01,D,Diagonal,3.5665274940483283
2008-07-01,D,Diagonal,3.554262143121566
2008-08-01,D,Diagonal,3.8369747700833816
2008-09-01,D,Diagonal,4.387362774914625
2008-10-01,D,Diagonal,4.003323055056784
2008-11-01,D,Diagonal,3.7723798308814183
2008-12-01,D,Diagonal,3.7280232636540345
2009-01-01,D,Diagonal,3.5666061143435606
2009-02-01,D,Diagonal,3.676961851396001
2009-03-01,D,Diagonal,3.5538842026531396
2009-04-01,D,Diagonal,3.3403798566603595
2009-05-01,D,Diagonal,3.280709115474101
2009-06-01,D,Diagonal,3.496892125624717
2009-07-01,D,Diagonal,3.148878409060374
2009-08-01,D,Diagonal,2.960646266047907
2009-09-01,D,Diagonal,2.952957838563871
2009-10-01,D,Diagonal,3.14600290498501
2009-11-01,D,Diagonal,3.3292139519204786
2009-12-01,D,Diagonal,3.546389961724876
2010-01-01,D,Diagonal,3.7567612276285853
2010-02-01,D,Diagonal,3.942089415690376
2010-03-01,D,Diagonal,4.0404896735033375
2010-04-01,D,Diagonal,3.7396958071239954
2010-05-01,D,Diagonal,3.693535894527201
2010-06-01,D,Diagonal,3.908326338303787
2010-07-01,D,Diagonal,4.143931786980856
2010-08-01,D,Diagonal,4.552193816358841
2010-09-01,D,Diagonal,4.885320119816846
2010-10-01,D,Diagonal,4.564098437533508
2010-11-01,D,Diagonal,4.533694849913885
2010-12-01,D,Diagonal,4.438021233061681
2011-01-01,D,Diagonal,4.682675974089684
2011-02-01,D,Diagonal,4.228706788369438
2011-03-01,D,Diagonal,3.9389867593395
2011-04-01,D,Diagonal,3.8635757046442376
2011-05-01,D,Diagonal,3.72505815980628
2011-06-01,D,Diagonal,3.8487989717222293
2011-07-01,D,Diagonal,4.15953310923391
2011-08-01,D,Diagonal,4.57761888959384
2011-09-01,D,Diagonal,5.066651857163713
2011-10-01,D,Diagonal,4.705244672024798
2011-11-01,D,Diagonal,4.228456504506648
2011-12-01,D,Diagonal,3.902785317754931
2012-01-01,D,Diagonal,3.7915110487195114
2012-02-01,D,Diagonal,3.9924366737253956
2012-03-01,D,Diagonal,4.320113845347807
2012-04-01,D,Diagonal,4.358305661615258
2012-05-01,D,Diagonal,4.149655513150359
2012-06-01,D,Diagonal,4.18616844689029
2012-07-01,D,Diagonal,3.7732838542118503
2012-08-01,D,Diagonal,3.446889009193517
2012-09-01,D,Diagonal,3.180821362942936
2012-10-01,D,Diagonal,3.052700535661774
2012-11-01,D,Diagonal,2.901032122860626
2012-12-01,D,Diagonal,2.8878761907677664
2013-01-01,D,Diagonal,3.0039088008992767
2013-02-01,D,Diagonal,2.9851234107284603
2013-03-01,D,Diagonal,3.126567756804636
2013-04-01,D,Diagonal,3.3889351162015764
2013-05-01,D,Diagonal,3.7565912878922902
2013-06-01,D,Diagonal,4.09815162117676
2013-07-01,D,Diagonal,4.545824195288196
2013-08-01,D,Diagonal,4.6860559447689525
2013-09-01,D,Diagonal,5.081656521329199
2013-10-01,D,Diagonal,4.424771330013972
2013-11-01,D,Diagonal,4.01684770872557
2013-12-01,D,Diagonal,3.816734440403916
2014-01-01,D,Diagonal,3.9475780316150586
2014-02-01,D,Diagonal,4.284773907067953
2014-03-01,D,Diagonal,4.595172521875252
2014-04-01,D,Diagonal,4.1765901292138325
2014-05-01,D,Diagonal,3.7772147536281584
2014-06-01,D,Diagonal,3.565132105898116
2014-07-01,D,Diagonal,3.396175329556487
2014-08-01,D,Diagonal,3.5168102201154112
2014-09-01,D,Diagonal,3.804268563387485
2014-10-01,D,Diagonal,4.172005213441266
2014-11-01,D,Diagonal,4.173574594086022
2014-12-01,D,Diagonal,4.43325372371903
2015-01-01,D,Diagonal,4.1181537163837625
2015-02-01,D,Diagonal,4.1579436759242245
2015-03-01,D,Diagonal,4.3151390310564155
2015-04-01,D,Diagonal,3.919137503041227
2015-05-01,D,Diagonal,3.6036110317266417
2015-06-01,D,Diagonal,3.4522927295865324
2015-07-01,D,Diagonal,3.574079812820357
2015-08-01,D,Diagonal,3.768037307935581
2015-09-01,D,Diagonal,4.118209228094475
2015-10-01,D,Diagonal,4.401037830047813
2015-11-01,D,Diagonal,4.022446821323288
2015-12-01,D,Diagonal,3.8495618976992896
2016-01-01,D,Diagonal,3.9990924329265973
2016-02-01,D,Diagonal,4.005436983542215
2016-03-01,D,Diagonal,3.9696463340742825
2016-04-01,D,Diagonal,3.9079947793391137
2016-05-01,D,Diagonal,4.124652009271607
2016-06-01,D,Diagonal,3.967031062209334
2016-07-01,D,Diagonal,4.0809885246292295
2016-08-01,D,Diagonal,4.483988613209598
2016-09-01,D,Diagonal,5.029263939553796
2016-10-01,D,Diagonal,4.5750072212690815
2016-11-01,D,Diagonal,4.449370838250554
2016-12-01,D,Diagonal,4.692950021338168
2017-01-01,D,Diagonal,4.341067025579094
2017-02-01,D,Diagonal,4.29572624714129
2017-03-01,D,Diagonal,4.557475144778284
2017-04-01,D,Diagonal,4.113130593594939
2017-05-01,D,Diagonal,3.866533490978863
2017-06-01,D,Diagonal,3.4488617891162505
2017-07-01,D,Diagonal,3.271931032345452
2017-08-01,D,Diagonal,3.123241048327685
2017-09-01,D,Diagonal,3.2091839878760196
2017-10-01,D,Diagonal,3.145075030925584
2017-11-01,D,Diagonal,3.3075718183727476
2017-12-01,D,Diagonal,3.573790385450104
2018-01-01,D,Diagonal,3.838552978137445
2018-02-01,D,Diagonal,4.051116894492822
2018-03-01,D,Diagonal,4.249858367070049
