date,pair_key,pair_label,probe,omega_bar,rotation_distance,angle_degrees,n_lambda_valid,valid
1993-11-01,D_H,Diagonal vs HAC,Full soft,0.7022506954316944,0.2977493045683056,45.392142312922665,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9995846262308508,0.00041537376914924096,1.6514757385337806,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.6984442047421842,0.30155579525781584,45.697684778580054,41,True
1993-11-01,D_H,Diagonal vs HAC,Macro,0.7414228560350794,0.2585771439649206,42.14723747212618,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9996306785111123,0.0003693214888876861,1.5572318802939262,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7381508816750726,0.2618491183249274,42.42586362306409,41,True
1993-11-01,D_H,Diagonal vs HAC,Financial,0.7327484204868276,0.26725157951317235,42.882698576962134,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9996120697768345,0.0003879302231655224,1.5959838010863208,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7286680620641781,0.2713319379358219,43.22515108563415,41,True
1993-11-01,D_H,Diagonal vs HAC,Short horizons,0.8073727303201262,0.19262726967987376,36.15997141999324,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.9997488364805914,0.0002511635194085704,1.284177334840141,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.805338128356534,0.19466187164346604,36.35707714253591,41,True
1993-11-01,D_H,Diagonal vs HAC,Medium horizons,0.7124362198534065,0.28756378014659345,44.566519838694205,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.9996037442836223,0.0003962557163776914,1.6130199634874387,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7078306472312246,0.2921693527687754,44.94131618003277,41,True
1993-11-01,D_H,Diagonal vs HAC,Long horizons,0.7380037476022937,0.2619962523977063,42.43835800536096,41,True
1993-11-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9996135087531749,0.0003864912468251047,1.5930208135427766,41,True
1993-11-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.7343355355501806,0.2656644644498194,42.748900488639734,41,True
1993-12-01,D_H,Diagonal vs HAC,Full soft,0.7063182039613471,0.29368179603865285,45.06386162809502,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9995664733591187,0.00043352664088125437,1.687179215636427,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.7029677634498138,0.2970322365501862,45.33440430140481,41,True
1993-12-01,D_H,Diagonal vs HAC,Macro,0.7440522320627836,0.2559477679372164,41.92224269268963,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9996111450323503,0.00038885496764973215,1.5978850376749867,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7410686073519837,0.25893139264801635,42.1774757536919,41,True
1993-12-01,D_H,Diagonal vs HAC,Financial,0.7382016178038584,0.2617983821961416,42.42155450359841,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9996011515910148,0.00039884840898518625,1.6182886869377764,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7347469015348482,0.26525309846515177,42.71416605839421,41,True
1993-12-01,D_H,Diagonal vs HAC,Short horizons,0.8129879899799571,0.18701201002004286,35.61109805422267,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.9997501060842011,0.0002498939157988822,1.2809274005776896,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.8119957978904698,0.18800420210953017,35.70861288925123,41,True
1993-12-01,D_H,Diagonal vs HAC,Medium horizons,0.7179104326350552,0.28208956736494484,44.117769729495954,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.9995848843196852,0.00041511568031482593,1.6509625583435052,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7138322699027727,0.2861677300972273,44.45241899295534,41,True
1993-12-01,D_H,Diagonal vs HAC,Long horizons,0.7387489806182069,0.26125101938179307,42.375043323588784,41,True
1993-12-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9995982609464265,0.00040173905357354656,1.6241427461491402,41,True
1993-12-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.7352786323577702,0.26472136764222975,42.66923458026239,41,True
1994-01-01,D_H,Diagonal vs HAC,Full soft,0.7154886401642124,0.28451135983578757,44.316740682112005,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9995772707879401,0.00042272921205988023,1.6660347689153356,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.71271269542551,0.28728730457449003,44.54394149922965,41,True
1994-01-01,D_H,Diagonal vs HAC,Macro,0.7504542142973901,0.24954578570260988,41.37026133620821,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9996174378852111,0.0003825621147889313,1.5849021566360852,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7478478820683406,0.25215211793165937,41.59570288496929,41,True
1994-01-01,D_H,Diagonal vs HAC,Financial,0.747413601562162,0.25258639843783803,41.63316997307109,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9996146928160482,0.00038530718395179964,1.5905785783737214,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7446849993150794,0.25531500068492063,41.867950111922035,41,True
1994-01-01,D_H,Diagonal vs HAC,Short horizons,0.8253272916397396,0.1746727083602604,34.37831228317659,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.9997514283583423,0.0002485716416577022,1.277533852523339,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.8250822772253686,0.17491772277463136,34.40316613602946,41,True
1994-01-01,D_H,Diagonal vs HAC,Medium horizons,0.7287136129676013,0.2712863870323987,43.22134017528507,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.9995895814274444,0.0004104185725556375,1.6415948753672873,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7253337472790746,0.2746662527209254,43.50338124590721,41,True
1994-01-01,D_H,Diagonal vs HAC,Long horizons,0.7436542200205037,0.25634577997949626,41.95636351312053,41,True
1994-01-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9996149744740026,0.0003850255259973956,1.5899970815943094,41,True
1994-01-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.7405268001911531,0.25947319980884687,42.22368978485879,41,True
1994-02-01,D_H,Diagonal vs HAC,Full soft,0.7248653348754237,0.2751346651245763,43.542353564405666,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9996011956542916,0.0003988043457083812,1.6181992872926323,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.7230145121958482,0.2769854878041518,43.69607171117412,41,True
1994-02-01,D_H,Diagonal vs HAC,Macro,0.7572565874792919,0.24274341252070808,40.77706202406002,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9996314322142733,0.00036856778572669224,1.5556419887914597,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7554086431907729,0.24459135680922706,40.9389110707663,41,True
1994-02-01,D_H,Diagonal vs HAC,Financial,0.7551542052284529,0.2448457947715471,40.96115429337226,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9996454624524366,0.00035453754756342715,1.5257436823028498,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7534138210172899,0.24658617898271007,41.11303469542007,41,True
1994-02-01,D_H,Diagonal vs HAC,Short horizons,0.8319795251807265,0.1680204748192735,33.69737667450993,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.9997594003694825,0.00024059963051747957,1.2568800018465454,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.8326728136430966,0.16732718635690336,33.62571238661089,41,True
1994-02-01,D_H,Diagonal vs HAC,Medium horizons,0.7396876753505891,0.2603123246494109,42.295182903394306,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.999605822195567,0.00039417780443296024,1.608784895499659,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7373462186166224,0.2626537813833776,42.49415791355355,41,True
1994-02-01,D_H,Diagonal vs HAC,Long horizons,0.7498975071758275,0.2501024928241725,41.41849957322343,41,True
1994-02-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9996462606776578,0.00035373932234217254,1.5240250416868422,41,True
1994-02-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.7474799905889373,0.2525200094110627,41.627444115862815,41,True
1994-03-01,D_H,Diagonal vs HAC,Full soft,0.7256347496845096,0.2743652503154904,43.47832283770669,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.999753008427079,0.00024699157292096263,1.273466830370814,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.7254560974881658,0.27454390251183425,43.49319700154543,41,True
1994-03-01,D_H,Diagonal vs HAC,Macro,0.758924051954897,0.24107594804510302,40.63056371716307,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9997840640170911,0.00021593598290892135,1.1907153558527739,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7584498342494661,0.2415501657505339,40.67227137149963,41,True
1994-03-01,D_H,Diagonal vs HAC,Financial,0.7536693564977315,0.24633064350226852,41.090763475946964,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9997775911121816,0.00022240888781843715,1.2084306974151988,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7530304863038798,0.2469695136961202,41.1464256820858,41,True
1994-03-01,D_H,Diagonal vs HAC,Short horizons,0.8287346461434801,0.17126535385651986,34.03102586148211,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.999836230687718,0.00016376931228201386,1.0369547852185452,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.8283351612691062,0.17166483873089378,34.071903288446315,41,True
1994-03-01,D_H,Diagonal vs HAC,Medium horizons,0.7434861730720679,0.2565138269279321,41.97076307571862,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.9997676211608645,0.00023237883913551638,1.2352200417492136,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7432432584671904,0.2567567415328096,41.99157077014546,41,True
1994-03-01,D_H,Diagonal vs HAC,Long horizons,0.7481314339628984,0.2518685660371016,41.571224847771155,41,True
1994-03-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9997814475123791,0.0002185524876209266,1.1979078676376933,41,True
1994-03-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.747640462139543,0.25235953786045695,41.61360125927328,41,True
1994-04-01,D_H,Diagonal vs HAC,Full soft,0.7196644422729582,0.2803355577270418,43.97321688303833,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9997853796252287,0.00021462037477126827,1.1870824172196328,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.719130798573873,0.28086920142612704,44.017235888677405,41,True
1994-04-01,D_H,Diagonal vs HAC,Macro,0.752825206223889,0.24717479377611096,41.16429777974008,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9998043183420716,0.00019568165792838155,1.1334954263822208,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Macro,0.7519984652387823,0.24800153476121767,41.236211078644224,41,True
1994-04-01,D_H,Diagonal vs HAC,Financial,0.748501855356725,0.251498144643275,41.53922989838574,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Financial,0.9998097158047798,0.00019028419522015838,1.1177530819138688,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Financial,0.7476024261061239,0.25239757389387607,41.616882725546716,41,True
1994-04-01,D_H,Diagonal vs HAC,Short horizons,0.8226826288793625,0.1773173711206375,34.64575612792512,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Short horizons,0.9998477912618148,0.00015220873818522218,0.9996844387027849,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Short horizons,0.8207584421469689,0.17924155785303109,34.839211058817874,41,True
1994-04-01,D_H,Diagonal vs HAC,Medium horizons,0.7430447687156861,0.25695523128431386,42.00856686896459,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Medium horizons,0.9997863254635566,0.00021367453644338674,1.18446368192972,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Medium horizons,0.7431326824836909,0.2568673175163091,42.00103976005905,41,True
1994-04-01,D_H,Diagonal vs HAC,Long horizons,0.7407288118665927,0.2592711881334073,42.20646378480271,41,True
1994-04-01,H_V,HAC vs Hilbert-Volterra,Long horizons,0.9998217172047498,0.0001782827952502286,1.0819290953706344,41,True
1994-04-01,D_V,Diagonal vs Hilbert-Volterra,Long horizons,0.7398949523291869,0.2601050476708131,42.27753210982575,41,True
1994-05-01,D_H,Diagonal vs HAC,Full soft,0.7091281040797215,0.2908718959202785,44.83598030961106,41,True
1994-05-01,H_V,HAC vs Hilbert-Volterra,Full soft,0.9997086776600553,0.0002913223399446663,1.3830410447025616,41,True
1994-05-01,D_V,Diagonal vs Hilbert-Volterra,Full soft,0.706423227698248,0.29357677230175205,45.05536055553161,41,True
1994-05-01,D_H,Diagonal vs HAC,Macro,0.7444081604673402,0.25559183953265985,41.89171044554962,41,True
1994-05-01,H_V,HAC vs Hilbert-Volterra,Macro,0.9997257254939005,0.0002742745060995144,1.3419621844808705,41,True
