pair_key,pair_label,mean_commutator_index,median_commutator_index,p90_commutator_index,max_commutator_index,date_max_commutator,mean_anisotropy_left,mean_anisotropy_right,n_dates_valid,n_dates_interpretable,share_dates_interpretable
D_H,Diagonal vs HAC,0.158908236551656,0.15173546923030842,0.2090924346442902,0.3156266196937485,2011-09-01,3.865183972223444,5.584985468513634,359,359,1.0
H_V,HAC vs Hilbert-Volterra,0.016408868292848267,0.015290046039017482,0.025963731015459506,0.03279501545072341,2020-05-01,5.584985468513634,5.7423613344729505,359,359,1.0
D_V,Diagonal vs Hilbert-Volterra,0.16213161511514013,0.15616623230433482,0.21309665978378808,0.31660675708316666,2011-09-01,3.865183972223444,5.7423613344729505,359,359,1.0
