date,tau_soft_diagonal_old,shape_rms_diagonal_old,weight_ess_diagonal_old,tau_soft_hac_filtered,shape_rms_hac_filtered,weight_ess_hac_filtered,tau_soft_volterra_nonlinear,shape_rms_volterra_nonlinear,weight_ess_volterra_nonlinear
1992-11-01,0.4257292778139343,1.6142478857634501,7.141428428542857,,,,,,
1992-12-01,0.4213489845753795,1.6007841980802808,7.856748489154615,,,,,,
1993-01-01,0.382151103013432,1.5760673614603748,8.867604239501638,,,,,,
1993-02-01,0.3734544175881957,1.568334119517276,9.961567813474005,,,,,,
1993-03-01,0.3930163582332928,1.579607396524517,10.990247959857301,,,,,,
1993-04-01,0.43944111753568377,1.601428843964683,11.861491451273766,,,,,,
1993-05-01,0.46894321513501175,1.5713421467157571,12.54031899737815,,,,,,
1993-06-01,0.5057422542846289,1.5383630618341142,13.035580882810793,,,,,,
1993-07-01,0.49013510928578186,1.442199776988377,13.379207039890545,,,,,,
1993-08-01,0.5001777924428631,1.3614613729898897,13.608857643615412,,,,,,
1993-09-01,0.5387944126957416,1.3000965482838411,13.758169027139022,,,,,,
1993-10-01,0.6006455872899845,1.249853601505366,13.853307236047563,,,,,,
1993-11-01,0.7070709789925363,1.2208181320649072,13.913030315661954,0.9181879497469482,2.0486405224804205,7.141428428542857,0.9143501485002303,2.0653166981462254,7.002752503325251
1993-12-01,0.7736378860521324,1.1591175677915269,13.950104008819881,0.9215275638883564,2.001215924459609,7.856748489154615,0.9179929443288766,2.01677846137209,7.719324670141251
1994-01-01,0.8945330306678506,1.1210740969459856,13.972920747592601,0.9234687386002127,1.9257413420270924,8.867604239501638,0.9199408924679205,1.9401455726670185,8.73973710731296
1994-02-01,1.0864135434357052,1.100417818620703,13.986868280806721,0.9428059802891253,1.8344324302016126,9.961567813474005,0.9451378095783775,1.8527235632363035,9.746322295249271
1994-03-01,1.1554665494138716,1.1002054870861928,13.995347584543065,0.9372445440475844,1.7439590292423488,10.990247959857301,0.9362369879256123,1.7577775175970414,10.896376935868817
