target,rank,date,tau_soft,shape_rms_log_relative,weight_ess
diagonal_old,1,2019-06-01,2.1909340456132727,0.9807084641998736,14.008186532810347
diagonal_old,2,2019-07-01,2.183937911607463,1.0189233604706296,14.00818653273746
diagonal_old,3,2019-09-01,2.167086098602754,1.0743302733552034,14.00818653239558
diagonal_old,4,2019-10-01,2.1571529825094244,1.0872744601492115,14.008186532023238
diagonal_old,5,2019-05-01,2.148119797546355,0.9567415071687596,14.008186532852642
diagonal_old,6,2019-08-01,2.119113603137688,1.037684400252262,14.00818653261187
diagonal_old,7,2019-11-01,2.116700151453896,1.1167625793469818,14.008186531382526
diagonal_old,8,2019-03-01,2.109373433872205,0.9846500511114333,14.008186532891388
diagonal_old,9,2019-04-01,2.082666284324706,0.9541128339963373,14.00818653287717
diagonal_old,10,2019-02-01,2.078056320628004,1.0270465081368831,14.008186532899636
hac_filtered,1,2019-10-01,1.5143430519639716,1.0588741475650645,14.008186532023236
hac_filtered,2,2020-01-01,1.5068485592733458,1.2596658575931565,14.008186528385984
hac_filtered,3,2019-09-01,1.504631452122847,0.975171969270413,14.00818653239558
hac_filtered,4,2019-11-01,1.4985204926266975,1.1483326494615258,14.00818653138253
hac_filtered,5,2020-02-01,1.497182904970303,1.3081516018041905,14.008186525130586
hac_filtered,6,2019-12-01,1.4955850528955739,1.2152842188243476,14.008186530280517
hac_filtered,7,2019-06-01,1.4863746883419673,0.9005328048918455,14.00818653281035
hac_filtered,8,2019-08-01,1.4778071685561938,0.9159759515872286,14.008186532611868
hac_filtered,9,2019-07-01,1.4730463599071433,0.8879620234787241,14.00818653273746
hac_filtered,10,2019-05-01,1.4702787760268283,0.9332329247246339,14.008186532852648
volterra_nonlinear,1,2020-03-01,1.775551020832432,1.9273337546817981,1.2228443646739766
volterra_nonlinear,2,2020-02-01,1.7611096858551063,1.762320351032315,2.3481358690385687
volterra_nonlinear,3,2020-01-01,1.658788793914843,1.7133184854208494,3.345064477088745
volterra_nonlinear,4,2000-12-01,1.6439562280642228,0.7539613090560663,6.83348986890147
volterra_nonlinear,5,2019-10-01,1.6367143053022952,1.4149666111814518,4.821411165858021
volterra_nonlinear,6,2019-09-01,1.6244199524314156,1.3179611660033537,5.466644356141799
volterra_nonlinear,7,2000-11-01,1.5596570927867264,0.7454782627103803,8.394858988079708
volterra_nonlinear,8,2019-06-01,1.5080746761792816,1.6488400534872774,8.020409757128808
volterra_nonlinear,9,2001-01-01,1.4868325520932668,0.8287927091260877,6.740977653054785
volterra_nonlinear,10,2019-12-01,1.4824122030831246,1.667342965520606,4.0516332895006375
