target,rank,date,tau_soft,shape_rms_log_relative,weight_ess
hac_filtered,2,2020-01-01,1.5068485592733458,1.2596658575931565,14.008186528385984
hac_filtered,5,2020-02-01,1.497182904970303,1.3081516018041905,14.008186525130586
hac_filtered,6,2019-12-01,1.4955850528955739,1.2152842188243476,14.008186530280517
volterra_nonlinear,1,2020-03-01,1.775551020832432,1.9273337546817981,1.2228443646739766
volterra_nonlinear,2,2020-02-01,1.7611096858551063,1.762320351032315,2.3481358690385687
volterra_nonlinear,3,2020-01-01,1.658788793914843,1.7133184854208494,3.345064477088745
volterra_nonlinear,4,2000-12-01,1.6439562280642228,0.7539613090560663,6.83348986890147
volterra_nonlinear,7,2000-11-01,1.5596570927867264,0.7454782627103803,8.394858988079708
volterra_nonlinear,9,2001-01-01,1.4868325520932668,0.8287927091260877,6.740977653054785
volterra_nonlinear,10,2019-12-01,1.4824122030831246,1.667342965520606,4.0516332895006375
