pair_label,Full soft,Macro,Financial,Short horizons,Medium horizons,Long horizons
Diagonal vs HAC,0.33210474146917396,0.3064666483134083,0.2783708321911556,0.21174673236688857,0.2644156817819201,0.2935191105215046
HAC vs Hilbert-Volterra,0.0006299988821980391,0.0006042880429126345,0.0005484168516147704,0.0004743425574896134,0.0005325180857214839,0.0006076681051357006
Diagonal vs Hilbert-Volterra,0.33422333976516616,0.30836611371973904,0.2809102326578792,0.21413440775863035,0.2670885894367235,0.2952983334848914
