pair_label,Full soft,Macro,Financial,Short horizons,Medium horizons,Long horizons
Diagonal vs HAC,0.3648987523966999,0.339740907271473,0.31506575828397293,0.26868026985556137,0.3017420977405262,0.3389261557817701
HAC vs Hilbert-Volterra,0.001116064237411174,0.0010268445549086677,0.001036651749041373,0.0007979017304139191,0.0009772916886959804,0.0010104981032388327
Diagonal vs Hilbert-Volterra,0.3687199663323892,0.342810142909597,0.31859703056719535,0.2724690561050386,0.304871466377325,0.3418074349486997
