date,date_month,state_index,solver_backend,max_interval_residual,d_2,kappa5_2,d_4,kappa5_4
1992-11-01,1992-11,0,dense_generalized_eigh,2.733017734871115e-12,1,0.038444180975927604,1,0.038444180975927604
1992-12-01,1992-12,1,dense_generalized_eigh,6.978963813196699e-12,1,0.04940241285258141,1,0.04940241285258141
1993-01-01,1993-01,2,dense_generalized_eigh,0.0,0,,0,
1993-02-01,1993-02,3,dense_generalized_eigh,0.0,0,,0,
1993-03-01,1993-03,4,dense_generalized_eigh,0.0,0,,0,
1993-04-01,1993-04,5,dense_generalized_eigh,4.284405534464424e-12,1,0.019326879842463545,1,0.019326879842463545
1993-05-01,1993-05,6,dense_generalized_eigh,2.0064798969195068e-12,1,0.03788758048893428,1,0.03788758048893428
1993-06-01,1993-06,7,dense_generalized_eigh,9.568872736389914e-12,1,0.030523210697380388,1,0.030523210697380388
1993-07-01,1993-07,8,dense_generalized_eigh,6.832458246043202e-13,1,0.032565904450036307,0,
1993-08-01,1993-08,9,dense_generalized_eigh,7.791805617494206e-13,1,0.03060425531125789,0,
1993-09-01,1993-09,10,dense_generalized_eigh,1.2531525513199386e-12,1,0.027242375168453452,1,0.027242375168453452
1993-10-01,1993-10,11,dense_generalized_eigh,0.0,0,,0,
1993-11-01,1993-11,12,dense_generalized_eigh,1.4006515151663791e-11,1,0.03536982002296323,1,0.03536982002296323
1993-12-01,1993-12,13,dense_generalized_eigh,5.910212683108527e-13,1,0.027180435238420765,0,
1994-01-01,1994-01,14,dense_generalized_eigh,0.0,0,,0,
1994-02-01,1994-02,15,dense_generalized_eigh,5.6303201361670604e-11,1,0.056723675177049585,1,0.056723675177049585
1994-03-01,1994-03,16,dense_generalized_eigh,1.6267277286092533e-11,1,0.024208916251251326,1,0.024208916251251326
1994-04-01,1994-04,17,dense_generalized_eigh,3.4856159442826393e-11,1,0.043285769898357446,1,0.043285769898357446
1994-05-01,1994-05,18,dense_generalized_eigh,1.7069269739335657e-11,1,0.0315427807946986,1,0.0315427807946986
1994-06-01,1994-06,19,dense_generalized_eigh,0.0,0,,0,
