surface,rank,reference_covariance_trace_share,omitted_probe_mass,p95_residual_term,max_certificate,max_exact_error
72-coordinate full event-study surface,5,0.6025731585524929,0.3389319520105424,2.715925452011842,1.0,0.21433262812442677
72-coordinate full event-study surface,10,0.7234469220689217,0.241288784134436,4.297599710624351,1.0,0.14388633716663002
72-coordinate full event-study surface,15,0.8072422371897897,0.13082600340082362,3.9705428710922326,1.0,0.0650899832785482
48-coordinate fiscal event-study surface,5,0.6468290912051757,0.8886576432815337,1.992538025865203,1.0,0.4363792055564708
48-coordinate fiscal event-study surface,10,0.795879430126394,0.7775529545647336,3.2356668551585828,1.0,0.38926781100941565
48-coordinate fiscal event-study surface,15,0.8968503827195157,0.6666713913936471,4.318469512719959,1.0,0.3255927701755168
