date,date_month,lambda,q_full,q_5,d_2,d_4,kappa5_2,kappa5_4,max_interval_residual,solver_backend
2007-12-01,2007-12,0.01,0.6736260835367849,0.06355849341211009,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.010473708979594498,0.664168867493173,0.06300010237585345,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.010969857978923836,0.6545731497004637,0.06242911340911022,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.011489510001873092,0.6448446476788043,0.06184572730200544,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.012033778407775893,0.6349895077704137,0.06125018075559405,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.012603829296797275,0.6250142977449297,0.06064274699617611,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.01320088400831418,0.6149259967930704,0.060023736198592456,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.013826221737646556,0.6047319828598219,0.05939349570377082,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.014481182276745337,0.5944400172934025,0.05875241001720846,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.015167168884709226,0.5840582268131699,0.058100900576792396,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.015885651294280528,0.5735950828281061,0.057439425280365,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.01663816886076129,0.5630593781671649,0.0567684777657254,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.0174263338600965,0.5524602013131553,0.05608858643828987,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.018251834943190434,0.5418069082624526,0.05540031324438811,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.019116440753857017,0.5311090921632048,0.05470425219110592,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.020022003718155844,0.5203765509142437,0.054001027616654165,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.02097046401323233,0.5096192529350748,0.053291292218395736,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
2007-12-01,2007-12,0.02196385372416546,0.49884730134355504,0.052575724848841036,1,1,0.2413045870752756,0.2413045870752756,1.9592740151474088e-11,dense_generalized_eigh
