date,MP_event_manual,CBI_event_manual,MP_pm_sum,CBI_pm_sum,fallback_event,n_events,nonmissing_median_events,missing_median_events,mixed_missing_and_nonmissing_events
1995-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1995-11-01,0.01556062,0.00833221,0.02389283,0.0,False,1.0,1.0,0.0,False
1995-12-01,-0.04169659,-0.01128661,-0.0529832,0.0,False,1.0,1.0,0.0,False
1996-01-01,-0.02514787,-0.01859368,-0.04374155,0.0,False,1.0,1.0,0.0,False
1996-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1996-03-01,-0.00079544,0.01811721,0.0,0.01732177,False,1.0,1.0,0.0,False
1996-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1996-05-01,0.02007543,-0.00274063,0.0173348,0.0,False,1.0,1.0,0.0,False
1996-06-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1996-07-01,-0.02381297,-0.005668,-0.02948097,0.0,False,1.0,1.0,0.0,False
1996-08-01,0.00620623,-0.00924184,0.0,-0.00303561,False,1.0,1.0,0.0,False
1996-09-01,-0.05679111,-0.05575848,-0.11254959,0.0,False,1.0,1.0,0.0,False
1996-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1996-11-01,-0.02235482,0.00775709,-0.01459773,0.0,False,1.0,1.0,0.0,False
1996-12-01,0.00096448,-0.00621898,0.0,-0.0052545,False,1.0,1.0,0.0,False
1997-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1997-02-01,0.01865901,-0.0172607,0.00139831,0.0,False,1.0,1.0,0.0,False
1997-03-01,0.05819176,0.00449612,0.06268788,0.0,False,1.0,1.0,0.0,False
1997-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1997-05-01,-0.06702887,-0.00981188,-0.07684075,0.0,False,1.0,1.0,0.0,False
1997-06-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1997-07-01,-0.01620319,0.00494624,-0.01125695,0.0,False,1.0,1.0,0.0,False
1997-08-01,0.02493557,-0.01909142,0.00584415,0.0,False,1.0,1.0,0.0,False
1997-09-01,0.00614437,-0.01656169,0.0,-0.01041732,False,1.0,1.0,0.0,False
1997-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1997-11-01,0.00326565,-0.03826433,0.0,-0.03499868,False,1.0,1.0,0.0,False
1997-12-01,0.00290156,-0.00710064,0.0,-0.00419908,False,1.0,1.0,0.0,False
1998-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1998-02-01,0.0228062,0.000138,0.0229442,0.0,False,1.0,1.0,0.0,False
1998-03-01,0.00783054,-0.00821723,0.0,-0.00038669,False,1.0,1.0,0.0,False
1998-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1998-05-01,-0.00265142,-0.01797292,0.0,-0.02062434,False,1.0,1.0,0.0,False
1998-06-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1998-07-01,-0.01034203,-0.0071294,-0.01747143,0.0,False,1.0,1.0,0.0,False
1998-08-01,0.000259,0.00598283,0.0,0.00624183,False,1.0,1.0,0.0,False
1998-09-01,0.05940377,-0.02310027,0.0363035,0.0,False,1.0,1.0,0.0,False
1998-10-01,-0.22465232,0.02315193,-0.20150039,0.0,False,1.0,1.0,0.0,False
1998-11-01,-0.05469868,0.020959,-0.03373968,0.0,False,1.0,1.0,0.0,False
1998-12-01,0.00324795,-0.01138395,0.0,-0.008136,False,1.0,1.0,0.0,False
1999-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1999-02-01,-0.00502843,0.01509783,0.0,0.0100694,False,1.0,1.0,0.0,False
1999-03-01,-0.00290841,-0.0228253,0.0,-0.02573371,False,1.0,1.0,0.0,False
1999-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1999-05-01,0.13327533,-0.03062204,0.10265329,0.0,False,1.0,1.0,0.0,False
1999-06-01,-0.14729851,0.04211419,-0.10518432,0.0,False,1.0,1.0,0.0,False
1999-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1999-08-01,-0.03137062,0.03869808,0.0,0.00732746,False,1.0,1.0,0.0,False
1999-09-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
1999-10-01,0.08009256,-0.01594686,0.0641457,0.0,False,1.0,1.0,0.0,False
1999-11-01,0.05726578,0.01898391,0.07624969,0.0,False,1.0,1.0,0.0,False
1999-12-01,-0.01248983,0.0449105,0.0,0.03242067,False,1.0,1.0,0.0,False
2000-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2000-02-01,0.01694084,-0.02276755,0.0,-0.00582671,False,1.0,1.0,0.0,False
2000-03-01,-0.00154357,-0.00620638,0.0,-0.00774995,False,1.0,1.0,0.0,False
2000-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2000-05-01,0.06786235,-0.00825308,0.05960927,0.0,False,1.0,1.0,0.0,False
2000-06-01,-0.0336266,-0.00171677,-0.03534337,0.0,False,1.0,1.0,0.0,False
2000-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2000-08-01,0.03333993,0.01446751,0.04780744,0.0,False,1.0,1.0,0.0,False
2000-09-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2000-10-01,0.03245544,0.00638653,0.03884197,0.0,False,1.0,1.0,0.0,False
2000-11-01,0.04374977,-0.03753593,0.00621384,0.0,False,1.0,1.0,0.0,False
2000-12-01,0.04392733,-0.02240827,0.02151906,0.0,False,1.0,1.0,0.0,False
2001-01-01,-0.3331864,0.13912818,-0.18252864,-0.01152958,False,2.0,2.0,0.0,False
2001-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2001-03-01,0.00155644,-0.06946799,0.0,-0.06791155,False,1.0,1.0,0.0,False
2001-04-01,-0.39070124,-0.11573985,-0.50644109,0.0,False,1.0,1.0,0.0,False
2001-05-01,-0.0962114,-0.05210162,-0.14831302,0.0,False,1.0,1.0,0.0,False
2001-06-01,0.07399816,0.01204147,0.08603963,0.0,False,1.0,1.0,0.0,False
2001-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2001-08-01,-0.00404332,-0.08606239,0.0,-0.09010571,False,1.0,1.0,0.0,False
2001-09-01,0.0,0.0,0.0,0.0,True,1.0,0.0,1.0,False
2001-10-01,-0.00934119,-0.05097291,0.0,-0.0603141,False,1.0,1.0,0.0,False
2001-11-01,-0.12679517,-0.05078501,-0.17758018,0.0,False,1.0,1.0,0.0,False
2001-12-01,-0.05191214,-0.02053576,-0.0724479,0.0,False,1.0,1.0,0.0,False
2002-01-01,0.01537737,0.01095942,0.02633679,0.0,False,1.0,1.0,0.0,False
2002-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2002-03-01,-0.01540963,-0.05552493,0.0,-0.07093456,False,1.0,1.0,0.0,False
2002-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2002-05-01,0.00113376,-0.03427141,0.0,-0.03313765,False,1.0,1.0,0.0,False
2002-06-01,0.03136311,-0.02569537,0.00566774,0.0,False,1.0,1.0,0.0,False
2002-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2002-08-01,-0.01545075,-0.08686435,0.0,-0.1023151,False,1.0,1.0,0.0,False
2002-09-01,0.0535004,-0.06617244,0.0,-0.01267204,False,1.0,1.0,0.0,False
2002-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2002-11-01,-0.01985365,-0.08332793,0.0,-0.10318158,False,1.0,1.0,0.0,False
2002-12-01,0.0267367,-0.00859513,0.01814157,0.0,False,1.0,1.0,0.0,False
2003-01-01,0.01228723,0.03113482,0.0,0.04342205,False,1.0,1.0,0.0,False
