date,block,block_amp,tau_soft,block_shape,benchmark,denominator,n_coordinates
1993-11-01,macro_outcomes,0.6093368209975965,0.9143501485002303,0.6664151824080368,1.0,395.7395608732228,75
1993-12-01,macro_outcomes,0.6476327571457251,0.9179929443288766,0.7054877285785616,1.0,395.7395608732228,75
1994-01-01,macro_outcomes,0.7275656926928619,0.9199408924679205,0.7908830867829184,1.0,395.7395608732228,75
1994-02-01,macro_outcomes,0.8762684484584203,0.9451378095783775,0.9271329953981213,1.0,395.7395608732228,75
1994-03-01,macro_outcomes,0.940609314196909,0.9362369879256123,1.004670106316761,1.0,395.7395608732228,75
1994-04-01,macro_outcomes,1.0674483424250885,0.9095005709512167,1.1736642906212575,1.0,395.7395608732228,75
1994-05-01,macro_outcomes,1.032260683776654,0.8751772008489711,1.1794876315051432,1.0,395.7395608732228,75
1994-06-01,macro_outcomes,0.9963430110503918,0.8552795417259045,1.164932589220864,1.0,395.7395608732228,75
1994-07-01,macro_outcomes,0.9111613775022228,0.8390544642099923,1.0859382988446673,1.0,395.7395608732228,75
1994-08-01,macro_outcomes,0.8464593290873483,0.836291668599078,1.012158031545744,1.0,395.7395608732228,75
1994-09-01,macro_outcomes,0.7841933171305412,0.8441634783560023,0.9289590668595943,1.0,395.7395608732228,75
1994-10-01,macro_outcomes,0.7655146721453832,0.8660780723697764,0.8838864492328848,1.0,395.7395608732228,75
1994-11-01,macro_outcomes,0.7769838723289972,0.8906783994229671,0.8723506406267091,1.0,395.7395608732228,75
1994-12-01,macro_outcomes,0.7659576106516154,0.9151054019681675,0.8370157240949821,1.0,395.7395608732228,75
1995-01-01,macro_outcomes,0.8079819506548661,0.9155264376615743,0.8825326254024985,1.0,395.7395608732228,75
1995-02-01,macro_outcomes,0.8510030803099339,0.9369003698348678,0.9083175839282958,1.0,395.7395608732228,75
1995-03-01,macro_outcomes,0.8999724493636717,0.9762297875677581,0.9218858723886321,1.0,395.7395608732228,75
1995-04-01,macro_outcomes,0.91821200786445,0.9934016022098062,0.9243109793882976,1.0,395.7395608732228,75
1995-05-01,macro_outcomes,0.9460748561267026,0.996143543116635,0.9497374777602007,1.0,395.7395608732228,75
1995-06-01,macro_outcomes,0.8683723440855199,0.9944295215181526,0.8732366902782747,1.0,395.7395608732228,75
1995-07-01,macro_outcomes,0.7249059952160076,0.9807184410065152,0.7391581160358662,1.0,395.7395608732228,75
1995-08-01,macro_outcomes,0.6345125156496267,0.9468052057136119,0.6701616254542997,1.0,395.7395608732228,75
1995-09-01,macro_outcomes,0.559158377274583,0.8946145202738204,0.6250271648882222,1.0,395.7395608732228,75
1995-10-01,macro_outcomes,0.4805787371306061,0.8576007200475311,0.5603758554493411,1.0,395.7395608732228,75
1995-11-01,macro_outcomes,0.42545485185302045,0.8380944768678122,0.5076454547738596,1.0,395.7395608732228,75
1995-12-01,macro_outcomes,0.39234683308755647,0.8312646553088622,0.47198786882353044,1.0,395.7395608732228,75
1996-01-01,macro_outcomes,0.33240213509875205,0.8241907269593656,0.40330729796616627,1.0,395.7395608732228,75
1996-02-01,macro_outcomes,0.2848186086263339,0.7991822691806576,0.3563875471340691,1.0,395.7395608732228,75
1996-03-01,macro_outcomes,0.25154355710374937,0.7814154989651209,0.32190756062157044,1.0,395.7395608732228,75
1996-04-01,macro_outcomes,0.2337798753491835,0.7831202435050907,0.29852360130908023,1.0,395.7395608732228,75
1996-05-01,macro_outcomes,0.22718551849671184,0.8071018177064827,0.2814830960761533,1.0,395.7395608732228,75
1996-06-01,macro_outcomes,0.22673906295436907,0.8542040710562036,0.2654389865808196,1.0,395.7395608732228,75
1996-07-01,macro_outcomes,0.23644477567725114,0.9242714521637125,0.25581746046979564,1.0,395.7395608732228,75
1996-08-01,macro_outcomes,0.25732489559414934,0.9507927075308064,0.27064247922390783,1.0,395.7395608732228,75
1996-09-01,macro_outcomes,0.27135308079467696,0.9400577278908284,0.28865576309180657,1.0,395.7395608732228,75
1996-10-01,macro_outcomes,0.29383255161841776,0.8985665462583846,0.3270014367237812,1.0,395.7395608732228,75
1996-11-01,macro_outcomes,0.32588528197411337,0.8707564203218557,0.3742553880379741,1.0,395.7395608732228,75
1996-12-01,macro_outcomes,0.38316891414945564,0.8596792542737711,0.4457114816306044,1.0,395.7395608732228,75
1997-01-01,macro_outcomes,0.4509762540133452,0.8538157268804978,0.5281892097034012,1.0,395.7395608732228,75
1997-02-01,macro_outcomes,0.5131291597432712,0.8627950730944969,0.594728894200664,1.0,395.7395608732228,75
1997-03-01,macro_outcomes,0.5767214253339613,0.8788578960534394,0.6562169241737045,1.0,395.7395608732228,75
1997-04-01,macro_outcomes,0.695374851150971,0.8918816930079468,0.7796716275291627,1.0,395.7395608732228,75
1997-05-01,macro_outcomes,0.8965422457154667,0.8989625594479944,0.9973076590264072,1.0,395.7395608732228,75
1997-06-01,macro_outcomes,0.9986708730086661,0.9060304220419689,1.102248720035149,1.0,395.7395608732228,75
1997-07-01,macro_outcomes,1.0015585419411492,0.9205463835859162,1.0880044284565613,1.0,395.7395608732228,75
1997-08-01,macro_outcomes,0.7430432499298344,0.929874521209094,0.7990790509709554,1.0,395.7395608732228,75
1997-09-01,macro_outcomes,0.6035401496220594,0.9008751086241532,0.66994874632934,1.0,395.7395608732228,75
