date,tau_soft,log_tau_soft,shape_rms_log_relative,weight_ess,weight_ess_normalized
1993-11-01,0.9143501485002303,-0.08954168625080086,2.0653166981462254,7.002752503325251,0.01950627438252159
1993-12-01,0.9179929443288766,-0.08556557430743986,2.01677846137209,7.719324670141251,0.02150229713131267
1994-01-01,0.9199408924679205,-0.08344585832047603,1.9401455726670185,8.73973710731296,0.024344671608114096
1994-02-01,0.9451378095783775,-0.056424531878921075,1.8527235632363035,9.746322295249271,0.027148530070332234
1994-03-01,0.9362369879256123,-0.0658866423240696,1.7577775175970414,10.896376935868817,0.03035202489099948
1994-04-01,0.9095005709512167,-0.09485965326031248,1.6662064266462207,11.323177325658069,0.031540883915482085
1994-05-01,0.8751772008489711,-0.13332889787200197,1.5756671204586525,12.25872808421791,0.03414687488640085
1994-06-01,0.8552795417259045,-0.1563269140946579,1.4993946393020068,12.712645075259564,0.03541126761910743
1994-07-01,0.8390544642099923,-0.17547965899612317,1.4112406651470022,13.064120264994061,0.03639030714483025
1994-08-01,0.836291668599078,-0.17877784085989898,1.3305555704844902,13.27248864069983,0.03697072044763184
1994-09-01,0.8441634783560023,-0.16940910840798326,1.2321257420674878,13.426288028744327,0.03739913099928782
1994-10-01,0.8660780723697764,-0.14378022163129023,1.1633516851325574,13.584536542429726,0.03783993465857861
1994-11-01,0.8906783994229671,-0.11577186007564531,1.119341682536297,13.57622127034347,0.03781677234078961
1994-12-01,0.9151054019681675,-0.08871602693303356,1.0410685720350763,13.728426902531838,0.03824074346109145
1995-01-01,0.9155264376615743,-0.08825603744556144,0.965548061341946,13.21946038237759,0.03682300942166458
1995-02-01,0.9369003698348678,-0.06517833128191111,0.9720909888147666,13.270178022979596,0.03696428418657268
1995-03-01,0.9762297875677581,-0.0240572821985209,1.0271460276027617,13.460833063041978,0.0374953567215654
1995-04-01,0.9934016022098062,-0.006620263455540676,1.073207124310095,13.603688366345255,0.037893282357507656
1995-05-01,0.996143543116635,-0.00386391218675489,1.1181891032182463,13.6825474065437,0.03811294542212731
1995-06-01,0.9944295215181526,-0.0055860514566461366,1.1753123436660053,13.716987674739697,0.038208879316823666
1995-07-01,0.9807184410065152,-0.019469872838440056,1.249501966578447,13.550370886704744,0.03774476570112742
1995-08-01,0.9468052057136119,-0.054661903138568314,1.285893054165596,13.632917693312121,0.03797470109557694
1995-09-01,0.8946145202738204,-0.11136235709139043,1.2958161191160982,13.661618742803533,0.03805464830864494
1995-10-01,0.8576007200475311,-0.1536166490582898,1.313489798924548,13.675184467353368,0.038092435842209914
1995-11-01,0.8380944768678122,-0.17662444396245341,1.3277185775715694,13.68215372367141,0.03811184881245518
1995-12-01,0.8312646553088622,-0.18480705672073616,1.32937634231741,13.680909018790128,0.038108381667939076
1996-01-01,0.8241907269593656,-0.19335331109998757,1.3635768151030279,13.744593800766381,0.038285776603806054
