rank,max_exact_error,max_capped_ritz_bound,max_uncapped_ritz_bound,retained_probe_mass
1,0.5834397061088182,1.0,3.0457524312104454,0.03803089261266324
2,0.563848588350105,1.0,4.748133507175129,0.0760325606419801
3,0.5594796271352713,1.0,2.9572310501567722,0.11401894241172106
4,0.5324887409161119,1.0,3.436761621317895,0.15197223988635844
5,0.5015288320280461,1.0,4.929368237945543,0.1898862066533079
6,0.476908360834469,1.0,4.8851008375140905,0.22777108987071001
7,0.4540947037289501,1.0,5.208504721061981,0.26564776629956355
8,0.43259825630003546,1.0,5.066476103034229,0.3035216810846173
9,0.40232956230917205,1.0,5.073022507170341,0.3413645080294605
10,0.3727977371631534,1.0,4.920785928433018,0.37917086428678065
11,0.36646075526250405,1.0,6.121909048329954,0.4169095540346603
12,0.35298469274017596,1.0,5.050150322597246,0.45444215668349863
13,0.3333133230034447,1.0,5.024967328026195,0.491915302250605
14,0.3204214099808774,1.0,4.70687949696036,0.529300192939031
15,0.29387684255351143,1.0,4.674655830016093,0.5665760382281527
16,0.26427041593642037,1.0,4.638123392347118,0.6037237310529651
17,0.2323270241301968,1.0,4.556042853443889,0.6406760805176583
18,0.20211602394641848,1.0,3.8343136223540117,0.6775538930194038
19,0.1743610847182932,1.0,3.775861383542825,0.7143468249576779
20,0.15114316293668156,1.0,3.6597905334504035,0.751054999733884
21,0.13233562531451876,1.0,3.0602968138053654,0.7868122421820329
22,0.10987942114724203,1.0,3.0342334611230797,0.821852369724098
23,0.09265488029214819,1.0,3.0585257768112393,0.8550182016764537
24,0.07138132379859952,1.0,2.9832018586761095,0.8858321136866364
25,0.0504965823357183,1.0,2.209678808039028,0.9162453680895968
26,0.02920255046180764,1.0,2.1650354215643284,0.9464313028383219
27,0.014632982865603106,1.0,1.3822284888385932,0.9761239046301833
28,0.0,0.0,0.0,1.0
