rank,max_exact_error,max_capped_ritz_bound,max_uncapped_ritz_bound,retained_probe_mass
1,0.39178801110400796,1.0,2.93699810531837,0.3426776858247898
2,0.38497769221660905,1.0,6.7547100572475305,0.3544223701036207
3,0.2644589038375729,1.0,6.616200865030698,0.49276559374474166
4,0.24996058367517637,1.0,6.511744853782269,0.5967343597887919
5,0.21433262812442677,1.0,6.3923072892029165,0.6610680479894576
6,0.19453759315678754,1.0,5.469146799800161,0.6946834314274626
7,0.18094514387503396,1.0,6.099692881821118,0.7154071471954674
8,0.16065664832355075,1.0,5.419651913476422,0.7381273834105619
9,0.1456569567736179,1.0,5.401799228064472,0.7559924759562694
10,0.14388633716663002,1.0,5.397546009293938,0.758711215865564
11,0.13773594314238602,1.0,5.389519773997551,0.7661882622361154
12,0.10660390714928991,1.0,5.321482033008275,0.8032534899970212
13,0.08378641281446564,1.0,5.286172443260678,0.8352486090879252
14,0.08144743552842354,1.0,4.874009783175885,0.8387998163260829
15,0.0650899832785482,1.0,4.869247838333553,0.8691739965991764
16,0.06499369807699434,1.0,4.88287190988908,0.8693332465505632
17,0.049560809494479496,1.0,4.852316199867987,0.8950937540819465
18,0.04950003442588602,1.0,5.8370936400760955,0.8951824506503729
19,0.0489566363867725,1.0,6.642179446786087,0.8958814742276454
20,0.04887821926093189,1.0,6.686157903804747,0.8960402165544833
21,0.04283646486647724,1.0,8.05555861060236,0.9133008369466846
22,0.041488836428184905,1.0,7.898583931899021,0.9154092607349853
23,0.04032887664204288,1.0,7.600466355920011,0.918012143092113
24,0.03901468976108824,1.0,7.5870686612040235,0.9198645290246361
25,0.035936072248747064,1.0,7.460666148726911,0.924712274192543
26,0.03410462901990685,1.0,7.092538066438577,0.9284287199871953
27,0.031972972173057446,1.0,7.1506483719355876,0.9326840770461161
28,0.027676887230182967,1.0,6.740452893095879,0.9394278480315215
29,0.025291785731842764,1.0,6.466564581783431,0.9436026063755216
30,0.024851456997001253,1.0,6.465809743533079,0.9444465487219422
31,0.022800638635031234,1.0,6.038039082578239,0.9497465121951955
32,0.02277042834169196,1.0,5.934986789884653,0.9528329811647861
33,0.021679431821396422,1.0,5.9239767175126,0.9546297854679372
34,0.01729238642586972,1.0,5.91453817786714,0.9616361189219739
35,0.016748782793367667,1.0,6.432299555155181,0.9653084297441223
36,0.015514500850355883,1.0,6.486391525470657,0.9683754870296434
37,0.014126060007334296,1.0,6.5589143144607,0.9708981101700841
38,0.012170599531027282,1.0,6.565737362755656,0.9741271287520191
39,0.011106816694434918,1.0,6.563392228929222,0.9759410861694998
40,0.01048026699645499,1.0,6.563918781050365,0.9771262831056651
41,0.007312401528042689,1.0,6.567031355003535,0.9822973990294189
42,0.004781600174195266,1.0,6.56781198935838,0.9869345755365261
43,0.00474839766756574,1.0,6.571686246725475,0.9874139850973938
44,0.0068126534822893214,1.0,6.567630355739837,0.991470574285651
45,0.006727174832145799,1.0,6.567676397450443,0.9916561431980071
46,0.0067057691820363585,1.0,6.567432987435482,0.9916866324165936
47,0.00669638082617352,1.0,6.568155046593186,0.9917114763609088
48,0.0067018573532422465,1.0,6.5682629712243985,0.9917916414201864
49,0.006828045549817974,1.0,6.580614625799974,0.9925265926637545
50,0.007134405221895457,1.0,6.578020985393795,0.9932373613784771
51,0.007018192097218767,1.0,6.559344894860129,0.9942336105359589
52,0.006905740702676466,1.0,6.5767129089220635,0.994294158005459
53,0.0036429161990064185,1.0,5.993628744376769,0.9945935623364699
54,0.0036007303239119492,1.0,5.348292607436477,0.994646757281094
55,0.003458604707384183,1.0,5.3484779053239215,0.9948345051827432
56,0.0034691900688629818,1.0,5.3363787958767865,0.9948917536715647
57,0.0024132357005910987,1.0,3.760376311608719,0.9949223271779911
58,0.00233730979699448,1.0,3.6633244630326334,0.9951147800062096
59,0.002336635107053675,1.0,3.6602317110883478,0.9953266313495455
60,0.002377648665129295,1.0,3.5908542298453776,0.9957217545540259
61,0.0023556018352379193,1.0,3.447378176891846,0.9962405126691912
62,0.002204617899261907,1.0,3.537901688289211,0.9968475451806984
63,0.0021264254861677045,1.0,3.0108756098972598,0.9970443069356545
64,0.00192738730472658,1.0,3.007726023010962,0.9971690656328833
65,0.0018253283625631056,1.0,2.9882985456431888,0.9973429691977926
66,0.0015238456338487194,1.0,2.9504090111139742,0.9978037265474601
67,0.0014853822239845327,1.0,3.000125876782871,0.9979174505528794
68,0.0016535971876796007,1.0,2.140730050404276,0.9985267971060252
69,0.0009607365392517719,1.0,2.1392773524313546,0.9990680460480376
70,0.00047413821157271663,1.0,1.7978749075362033,0.9994492413273778
71,0.00034777599628188494,1.0,1.4308391635542241,0.9997259641556072
72,0.0,2.3314683517128287e-15,2.3314683517128287e-15,0.9999999999999977
