rank,max_exact_error,max_capped_ritz_bound,max_uncapped_ritz_bound,retained_probe_mass
1,0.18497474797624275,1.0,1.7030132793239092,0.9276869680392016
2,0.14511350067070958,1.0,1.4293227690851542,0.9651637551695034
3,0.1451095844323743,1.0,1.4276671311634002,0.9651759431907856
4,0.02585746746562373,1.0,1.034196121350465,0.984932011126965
5,0.01128238198489434,0.8047878481420462,0.8047878481420462,0.9989906012712827
6,0.00793471121199868,0.8958527620892397,0.8958527620892397,0.9991070744396366
7,0.0014382936689140702,0.30933167603688405,0.30933167603688405,0.9995952846187764
8,0.0008331203697315437,0.33729140414549613,0.33729140414549613,0.9995952859603706
9,0.0005612339905537445,0.5587781364523496,0.5587781364523496,0.9995954599506701
10,0.0005629551702192037,0.3826368517648541,0.3826368517648541,0.9998204267775243
11,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9999999999999993
