date,date_month,lambda,q_full,q_5,exact_error,d_2,d_4,kappa5_2,kappa5_4,max_generalized_residual,solver_backend
2007-12-01,2007-12,0.01,0.9816461522672348,0.07867777231715922,0.9029683799500756,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.010473708979594498,0.9808295754937186,0.07864085112014774,0.9021887243735709,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.010969857978923836,0.979978218433466,0.07860221806788562,0.9013760003655804,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.011489510001873092,0.9790907066593227,0.07856179560977185,0.9005289110495509,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.012033778407775893,0.9781656188872496,0.07851950285623538,0.8996461160310143,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.012603829296797275,0.9772014859212028,0.07847525545173968,0.8987262304694631,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.01320088400831418,0.976196789616648,0.07842896544460923,0.8977678241720388,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.013826221737646556,0.9751499618670019,0.07838054115377607,0.8967694207132257,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.014481182276745337,0.9740593836176443,0.07832988703256967,0.8957294965850746,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.015167168884709226,0.9729233839124964,0.07827690352970051,0.8946464803827959,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.015885651294280528,0.9717402389785684,0.07822148694761927,0.8935187520309491,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.01663816886076129,0.9705081713542905,0.07816352929846633,0.8923446420558241,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.0174263338600965,0.9692253490678983,0.07810291815786292,0.8911224309100353,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.018251834943190434,0.9678898848726231,0.07803953651683683,0.8898503483557862,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.019116440753857017,0.9664998355459659,0.07797326263221788,0.8885265729137479,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.020022003718155844,0.9650532012608753,0.0779039698758879,0.8871492313849875,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.02097046401323233,0.9635479250372474,0.07783152658332104,0.8857163984539264,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.02196385372416546,0.9619818922827958,0.07775579590190727,0.8842260963808886,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.02300430119772918,0.9603529304329993,0.07767663563961288,0.8826762947933864,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.024094035602395245,0.9586588087005468,0.07759389811459783,0.8810649105859489,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.02523539170434766,0.9568972379454339,0.07750743000648075,0.8793898079389532,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.026430814869741057,0.9550658706776479,0.07741707221001869,0.8776487984676292,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.027682866303920667,0.9531623012051865,0.07732265969205011,0.8758396415131364,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.028994228538828767,0.9511840659409994,0.077224021352637,0.8739600445883624,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.030367711180354574,0.9491286438833064,0.07712097989143452,0.8720076639918719,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.031806256927941194,0.9469934572846471,0.07701335168041494,0.8699801056042322,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.03331294787934674,0.9447758725259018,0.07690094664417711,0.8678749258817247,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.034891012134067735,0.9424732012124625,0.0767835681491817,0.8656896330632807,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.03654383070957257,0.940082701510619,0.07666101290336846,0.8634216886072505,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.03827494478516311,0.9376015797431452,0.07653307086773153,0.8610685088754136,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.04008806328898465,0.9350269922639293,0.07639952518155438,0.8586274670823749,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.0419870708444391,0.9323560476323404,0.07626015210313661,0.8560958955292037,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.043976036093027214,0.929585809108801,0.07611472096797713,0.8534710881408238,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.04605922041145106,0.9267132974937508,0.07596299416651744,0.8507503033272333,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.04824108704165369,0.923735494332806,0.07580472714368623,0.8479307671891197,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.0505263106533568,0.9206493455114385,0.0756396684226289,0.8450096770888096,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.05291978735958442,0.9174517652628674,0.07546755965514555,0.8419842056077219,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.05542664520663107,0.9141396406130874,0.07528813570150081,0.8388515049115866,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.05805225516094899,0.9107098362869854,0.0751011247424053,0.8356087115445802,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.06080224261649424,0.9071592000993347,0.07490624842609923,0.8322529516732354,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.06368249944718586,0.9034845688540317,0.07470322205359337,0.8287813468004384,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.06669919663030122,0.8996827747742621,0.07449175480523522,0.8251910199690269,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.0698587974678525,0.8957506524852985,0.07427155001187045,0.821479102473428,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.07316807143427195,0.8916850465703138,0.07404230547395423,0.8176427410963596,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.07663410868007459,0.8874828197179082,0.07380371383203224,0.813679105885876,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.08026433522257174,0.8831408614779813,0.07355546299205433,0.809585398485927,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.08406652885618325,0.8786560976400637,0.07329723660899737,0.8053588610310664,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.08804883581643465,0.8740255002452747,0.07302871463225741,0.8009967856130173,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.09221978823334327,0.8692460982396191,0.07274957391621671,0.7964965243234023,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.09658832241158703,0.8643149887723947,0.0724594888992952,0.7918554998730994,0,0,,,0.0,scipy.linalg.eigh subset_by_value
