rank,max_exact_error,max_capped_ritz_bound,max_uncapped_ritz_bound,retained_probe_mass
1,0.41110802449253103,0.984150151863042,0.984150151863042,0.015907864338403056
2,0.4031579873220959,0.9682688815685644,0.9682688815685644,0.03181089539261063
3,0.3952101563195412,0.9523635385918263,0.9523635385918263,0.047710714849268615
4,0.3872709328092408,0.9364726978687016,0.9364726978687016,0.06359928703738742
5,0.37934853383832867,0.9206101333291269,0.9206101333291269,0.0794653506475454
6,0.3714274058348845,0.9047440247919716,0.9047440247919716,0.09532953701468345
7,0.3635091122847047,0.8888828471002505,0.8888828471002505,0.11119008120083095
8,0.35561446752326303,0.8730538759143976,0.8730538759143976,0.12701910714500209
9,0.34773077033356786,0.857241436725694,0.857241436725694,0.14283330383483425
10,0.33986606323999563,0.8414539918667774,0.8414539918667774,0.15862219865049054
11,0.3320129677410803,0.8256823268532726,0.8256823268532726,0.17439580609488853
12,0.32420344938033696,0.8099674859221445,0.8099674859221445,0.19011068849773866
13,0.31640539375385995,0.7942677541652681,0.7942677541652681,0.20581046947470033
14,0.30862930991966564,0.7785955358231853,0.7785955358231853,0.22148100707575638
15,0.30087971134167996,0.7629599751681607,0.7629599751681607,0.23711588448641088
16,0.2931687734483989,0.7473765486940978,0.7473765486940978,0.25269892330051275
17,0.28550815103870897,0.7318601248252306,0.7318601248252306,0.2682144475370544
18,0.27790974813129765,0.7164278891824883,0.7164278891824883,0.28364624673127387
19,0.27031395382296375,0.7009967560577179,0.7009967560577179,0.2990744715977602
20,0.2627625807152292,0.6856281258011644,0.6856281258011644,0.3144429730471481
21,0.2552695402278518,0.6703380432642619,0.6703380432642619,0.32973258151045354
22,0.24783824556633877,0.6551302126121825,0.6551302126121825,0.3449386576394456
23,0.24044352108408082,0.6399739552978381,0.6399739552978381,0.36009519789099564
24,0.23309842878456474,0.6248822605802286,0.6248822605802286,0.37518438017769434
25,0.22580518124245444,0.6098634546506291,0.6098634546506291,0.3902031352329763
