date,block,block_amp,tau_soft,block_shape,benchmark,denominator,n_coordinates
1992-11-01,macro_outcomes,0.2238193410226493,0.4257292778139343,0.5257316155748863,1.0,529.0395575500743,75
1992-12-01,macro_outcomes,0.22385898258147413,0.4213489845753795,0.5312911405424917,1.0,529.0395575500743,75
1993-01-01,macro_outcomes,0.19927645570310518,0.382151103013432,0.5214598469864966,1.0,529.0395575500743,75
1993-02-01,macro_outcomes,0.19061651698380583,0.3734544175881957,0.5104144120581716,1.0,529.0395575500743,75
1993-03-01,macro_outcomes,0.19684032969222162,0.3930163582332928,0.5008451316812061,1.0,529.0395575500743,75
1993-04-01,macro_outcomes,0.21793103889752205,0.43944111753568377,0.4959277368482149,1.0,529.0395575500743,75
1993-05-01,macro_outcomes,0.24711485844698056,0.46894321513501175,0.5269611553625626,1.0,529.0395575500743,75
1993-06-01,macro_outcomes,0.2844631891912433,0.5057422542846289,0.5624667244654409,1.0,529.0395575500743,75
1993-07-01,macro_outcomes,0.308423022554514,0.49013510928578186,0.6292612316712911,1.0,529.0395575500743,75
1993-08-01,macro_outcomes,0.353960025644255,0.5001777924428631,0.7076684150959961,1.0,529.0395575500743,75
1993-09-01,macro_outcomes,0.42588889509896594,0.5387944126957416,0.7904478685443725,1.0,529.0395575500743,75
1993-10-01,macro_outcomes,0.5278145415289798,0.6006455872899845,0.8787453911222313,1.0,529.0395575500743,75
1993-11-01,macro_outcomes,0.6711969647388261,0.7070709789925363,0.9492639136387339,1.0,529.0395575500743,75
1993-12-01,macro_outcomes,0.8259010404111975,0.7736378860521324,1.06755506070904,1.0,529.0395575500743,75
1994-01-01,macro_outcomes,1.0445141662455824,0.8945330306678506,1.1676641671529526,1.0,529.0395575500743,75
1994-02-01,macro_outcomes,1.3465581691387702,1.0864135434357052,1.2394526718438876,1.0,529.0395575500743,75
1994-03-01,macro_outcomes,1.3904326351636171,1.1554665494138716,1.2033516988171884,1.0,529.0395575500743,75
1994-04-01,macro_outcomes,1.4904871828754194,1.1758727828035076,1.267558195642398,1.0,529.0395575500743,75
1994-05-01,macro_outcomes,1.3184470001252437,1.08791144344321,1.211906546319979,1.0,529.0395575500743,75
1994-06-01,macro_outcomes,1.1762131988859141,0.9688606212069004,1.214016931992464,1.0,529.0395575500743,75
1994-07-01,macro_outcomes,1.1279033762232318,0.9268983828577652,1.2168576373450328,1.0,529.0395575500743,75
1994-08-01,macro_outcomes,1.1439235555095162,0.8948408739804794,1.278354161920492,1.0,529.0395575500743,75
1994-09-01,macro_outcomes,1.250678415784111,0.9325224835640201,1.3411777601373498,1.0,529.0395575500743,75
1994-10-01,macro_outcomes,1.3242394539774562,0.9186397255659128,1.4415220865412504,1.0,529.0395575500743,75
1994-11-01,macro_outcomes,1.502889800327964,0.9768204122190458,1.5385528204860552,1.0,529.0395575500743,75
1994-12-01,macro_outcomes,1.5826476090610895,0.9839557433262368,1.6084540588288965,1.0,529.0395575500743,75
1995-01-01,macro_outcomes,1.5854677494290768,0.9496927706661351,1.6694533204848925,1.0,529.0395575500743,75
1995-02-01,macro_outcomes,1.2810895672209848,0.8464118796422626,1.5135533869898417,1.0,529.0395575500743,75
1995-03-01,macro_outcomes,1.0791838088459884,0.8108279208038383,1.3309652777818846,1.0,529.0395575500743,75
1995-04-01,macro_outcomes,0.9620995184896575,0.8357137151266801,1.1512309790725637,1.0,529.0395575500743,75
1995-05-01,macro_outcomes,0.9192335829313819,0.9163371898884176,1.003160837598785,1.0,529.0395575500743,75
1995-06-01,macro_outcomes,0.9496693982650922,1.067566001719568,0.88956504491097,1.0,529.0395575500743,75
1995-07-01,macro_outcomes,1.040052278170341,1.1477283038664077,0.9061833490266527,1.0,529.0395575500743,75
1995-08-01,macro_outcomes,0.8455647610588705,1.1056677891176165,0.7647548109669338,1.0,529.0395575500743,75
1995-09-01,macro_outcomes,0.6761932927930896,0.9933448036672046,0.6807236422808443,1.0,529.0395575500743,75
1995-10-01,macro_outcomes,0.5453194049520783,0.8233629456784116,0.6623074402537769,1.0,529.0395575500743,75
1995-11-01,macro_outcomes,0.4552175103580081,0.7038521227541372,0.6467516338187137,1.0,529.0395575500743,75
