episode,date,tau_soft,full_coordinate_shape_rms_log_relative
reference_neutral_full_coordinate,2000-08,1.3525170285010084,0.6790584444660865
max_tau_soft,2019-10,1.5143430519639716,1.0588741475650645
max_full_coordinate_shape_dispersion,2013-05,0.7590171078938668,2.709154617333683
march_2020,2020-03,1.4694665380944305,1.3489142117665083
